service	prefix	action	access_level	table_link	action_docs_link	condition_keys	dependent_actions
Alexa for Business	a4b	SearchProfiles	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchProfiles.html		
Alexa for Business	a4b	SearchRooms	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchRooms.html		
Alexa for Business	a4b	SearchSkillGroups	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchSkillGroups.html		
Alexa for Business	a4b	SearchUsers	List		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SearchUsers.html		
Alexa for Business	a4b	SendAnnouncement	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SendAnnouncement.html		
Alexa for Business	a4b	SendInvitation	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_SendInvitation.html		
Alexa for Business	a4b	StartDeviceSync	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_StartDeviceSync.html		
Alexa for Business	a4b	StartSmartHomeApplianceDiscovery	Read		https://docs.aws.amazon.com/a4b/latest/APIReference/API_StartSmartHomeApplianceDiscovery.html		
Alexa for Business	a4b	TagResource	Tagging		https://docs.aws.amazon.com/a4b/latest/APIReference/API_TagResource.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Alexa for Business	a4b	UntagResource	Tagging		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UntagResource.html		
Alexa for Business	a4b	UpdateAddressBook	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateAddressBook.html		
Alexa for Business	a4b	UpdateBusinessReportSchedule	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateBusinessReportSchedule.html		
Alexa for Business	a4b	UpdateConferenceProvider	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateConferenceProvider.html		
Alexa for Business	a4b	UpdateContact	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateContact.html		
Alexa for Business	a4b	UpdateDevice	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateDevice.html		
Alexa for Business	a4b	UpdateGateway	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateGateway.html		
Alexa for Business	a4b	UpdateGatewayGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateGatewayGroup.html		
Alexa for Business	a4b	UpdateNetworkProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateNetworkProfile.html		
Alexa for Business	a4b	UpdateProfile	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateProfile.html		
Alexa for Business	a4b	UpdateRoom	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateRoom.html		
Alexa for Business	a4b	UpdateSkillGroup	Write		https://docs.aws.amazon.com/a4b/latest/APIReference/API_UpdateSkillGroup.html		
AmazonMediaImport	mediaimport	CreateDatabaseBinarySnapshot [permission only]	Write		https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/custom-cev.html		
Amplify	amplify	CreateApp	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Amplify	amplify	CreateBackendEnvironment	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	CreateBranch	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Amplify	amplify	CreateDeployment	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	CreateDomainAssociation	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	aws:RequestTag/${TagKey}, aws:TagKeys	
Amplify	amplify	CreateWebHook	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	DeleteApp	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	DeleteBackendEnvironment	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	DeleteBranch	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	DeleteDomainAssociation	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	DeleteJob	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	DeleteWebHook	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GenerateAccessLogs	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetApp	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetArtifactUrl	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetBackendEnvironment	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetBranch	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetDomainAssociation	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetJob	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	GetWebHook	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListApps	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListArtifacts	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListBackendEnvironments	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListBranches	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListDomainAssociations	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListJobs	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListTagsForResource	Read		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	ListWebHooks	List		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	StartDeployment	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	StartJob	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	StopJob	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	TagResource	Tagging		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	aws:TagKeys, aws:RequestTag/${TagKey}	
Amplify	amplify	UntagResource	Tagging		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html	aws:TagKeys	
Amplify	amplify	UpdateApp	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	UpdateBranch	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	UpdateDomainAssociation	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify	amplify	UpdateWebHook	Write		https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html		
Amplify Admin	amplifybackend	CloneBackend	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-environments-backendenvironmentname-clone.html#CloneBackend		
Amplify Admin	amplifybackend	CreateBackend	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend.html#CreateBackend		
Amplify Admin	amplifybackend	CreateBackendAPI	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api.html#CreateBackendAPI		
Amplify Admin	amplifybackend	CreateBackendAuth	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth.html#CreateBackendAuth		
Amplify Admin	amplifybackend	CreateBackendConfig	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-config.html#CreateBackendConfig		
Amplify Admin	amplifybackend	CreateBackendStorage	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#CreateBackendStorage		
Amplify Admin	amplifybackend	CreateToken	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-challenge.html#CreateToken		
Amplify Admin	amplifybackend	DeleteBackend	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-environments-backendenvironmentname-remove.html#DeleteBackend		
Amplify Admin	amplifybackend	DeleteBackendAPI	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-remove.html#DeleteBackendAPI		
Amplify Admin	amplifybackend	DeleteBackendAuth	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname-remove.html#DeleteBackendAuth		
Amplify Admin	amplifybackend	DeleteBackendStorage	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#DeleteBackendStorage		
Amplify Admin	amplifybackend	DeleteToken	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-challenge-sessionid-remove.html#DeleteToken		
Amplify Admin	amplifybackend	GenerateBackendAPIModels	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-generatemodels.html#GenerateBackendAPIModels		
Amplify Admin	amplifybackend	GetBackend	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-details.html#GetBackend		
Amplify Admin	amplifybackend	GetBackendAPI	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-details.html#GetBackendAPI		
Amplify Admin	amplifybackend	GetBackendAPIModels	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-api-backendenvironmentname-getmodels.html#GetBackendAPIModels		
Amplify Admin	amplifybackend	GetBackendAuth	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname-details.html#GetBackendAuth		
Amplify Admin	amplifybackend	GetBackendJob	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-job-backendenvironmentname-jobid.html#GetBackendJob		
Amplify Admin	amplifybackend	GetBackendStorage	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#GetBackendStorage		
Amplify Admin	amplifybackend	GetToken	Read		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-challenge-sessionid.html#GetToken		
Amplify Admin	amplifybackend	ImportBackendAuth	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-auth-backendenvironmentname.html#ImportBackendAuth		
Amplify Admin	amplifybackend	ImportBackendStorage	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#ImportBackendStorage		
Amplify Admin	amplifybackend	ListBackendJobs	List		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-job-backendenvironmentname.html#ListBackendJobs		
Amplify Admin	amplifybackend	ListS3Buckets	List		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-storage.html#ListS3Buckets		
Amplify Admin	amplifybackend	RemoveAllBackends	Write		https://docs.aws.amazon.com/amplify-admin-ui/latest/APIReference/backend-appid-remove.html#RemoveAllBackends		
